Sr no,Menu Name,Stage 1,,,Stage 2,,,Stage3,,,Stage4,,,Stage5,,,Comp On/Off,Active,HACCP Color,Image
,,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,Time (S),Temp (F),Pressure,,,,
42,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
43,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
44,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
45,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
46,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
47,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
48,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
49,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
50,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
51,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
52,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
53,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
54,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
55,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
56,New Recipe,00:00,270,YES,00:00,270,YES,00:00,270,YES,00:00,270,NO,00:00,270,NO,OFF,NO,POULTRY,menu1.png
